Year,RD_vote_r,State
2002,1.3697154700000198,AL
2006,1.2498874605115866,AL
2010,2.182670297906468,AL
2014,2.123596894177789,AL
2018,1.4376833503514874,AL
2002,4.311431257463729,AK
2006,1.41397969726989,AK
2010,2.259928356054944,AK
2014,1.2440620582537827,AK
2018,1.1416169330558923,AK
2002,1.4443368951676956,AZ
2006,1.2295495162285435,AZ
2010,1.2650508473147646,AZ
2014,1.4139249026288059,AZ
2018,0.9661276822369197,AZ
2002,0.7236652163045862,AR
2006,0.6711844211937298,AR
2010,1.369359226354273,AR
2014,2.000325778925636,AR
2018,1.7775658352983277,AR
2002,0.8645392581935369,CA
2006,0.702178568371777,CA
2010,0.8148444655754669,CA
2014,0.7253858840923098,CA
2018,0.49602687491144376,CA
2002,1.0079462154537264,CO
2006,0.7489506392216,CO
2010,1.1037982269946311,CO
2014,1.0681106814592216,CO
2018,0.8038737026423994,CO
2002,0.9154205203561241,CT
2006,0.6473337824692093,CT
2010,0.7212822487546204,CT
2014,0.6866530290581666,CT
2018,0.6337645860023842,CT
2002,2.6979561062759174,DE
2006,1.4748834110592939,DE
2010,0.7228295004696242,DE
2014,0.6203670647208399,DE
2018,0.5514948120323901,DE
2002,1.406100085484209,FL
2006,1.364293647455301,FL
2010,1.6209624514458352,FL
2014,1.2735471764884234,FL
2018,1.1113272367949996,FL
2002,1.3565378640419012,GA
2006,1.2208942190200431,GA
2010,1.6250830810328527,GA
2014,1.4106346871108295,GA
2018,1.0951914857735239,GA
2002,0.5022423647694797,HI
2006,0.5374368773031254,HI
2010,0.5702733736695668,HI
2014,0.5101274426508071,HI
2018,0.3033748840827866,HI
2002,1.8570828322635795,ID
2006,1.3987518040772144,ID
2010,1.7476935924286208,ID
2014,1.71836229837954,ID
2018,1.7751455598809471,ID
2002,0.9521079940087593,IL
2006,0.7261898349351174,IL
2010,0.916698466569597,IL
2014,0.9446372818646693,IL
2018,0.6362370083480203,IL
2002,1.3124196026026902,IN
2006,1.023740424568244,IN
2010,1.4315311231533183,IN
2014,1.5709135955897584,IN
2018,1.2478482237847264,IN
2002,1.2046786462352552,IA
2006,1.0597459715947475,IA
2010,1.2449392965653483,IA
2014,1.1702236301255526,IA
2018,0.9212578760177891,IA
2002,2.0623444178968953,KS
2006,1.2439821122400059,KS
2010,1.920550416012102,KS
2014,1.7358071453792572,KS
2018,1.2127783280933717,KS
2002,1.9772372365526438,KY
2006,1.016713670575996,KY
2010,1.6676620865501788,KY
2014,1.7458531027194673,KY
2018,1.525838653000031,KY
2002,1.7708231535216012,LA
2006,1.874365863831686,LA
2010,2.1701202682338274,LA
2014,2.538910745323571,LA
2018,1.5107360299647135,LA
2002,0.7107773717333186,ME
2006,0.465227345953051,ME
2010,0.7849605890762787,ME
2014,0.7471809252986156,ME
2018,0.7270713752768589,ME
2002,0.8326358860934476,MD
2006,0.49740004238517577,MD
2010,0.6106990949734433,MD
2014,0.7200488210273882,MD
2018,0.49422824599627474,MD
2002,0.1900284829462121,MA
2006,0.12163765762200371,MA
2010,0.6051373847266455,MA
2014,0.20915630705917276,MA
2018,0.2562017743390219,MA
2002,0.9781073718097578,MI
2006,0.844750543934577,MI
2010,1.18124139704864,MI
2014,0.9655826415541496,MI
2018,0.8521638820728064,MI
2002,9.885292158643658,MN
2006,1.738266313236704,MN
2010,1.4357291708263635,MN
2014,3.08451931160925,MN
2018,0.7921998579642433,MN
2002,1.0582839044593746,MS
2006,1.168931740483233,MS
2010,1.2078273143329674,MS
2014,1.4310824558505135,MS
2018,1.1815382300574266,MS
2002,1.1890163378868444,MO
2006,1.0575334237668026,MO
2010,1.558178356758711,MO
2014,1.6321709501557633,MO
2018,1.2947618070194724,MO
2002,1.9781397540491348,MT
2006,1.5047194744393264,MT
2010,1.785066500483789,MT
2014,1.3711143990853454,MT
2018,1.1002083297611496,MT
2002,8.258843370407531,NE
2006,1.2759230269940056,NE
2010,2.384936447456444,NE
2014,1.8399213967198247,NE
2018,1.6336046700668827,NE
2002,1.7591727039027811,NV
2006,0.9042583863359258,NV
2010,1.1243852942564538,NV
2014,1.4504561092949222,NV
2018,0.8950784901235975,NV
2002,1.4484920837952304,NH
2006,0.9053687557894133,NH
2010,1.148093117873187,NH
2014,0.9390226654651693,NH
2018,0.7999755817016984,NH
2002,0.9065816090793668,NJ
2006,0.74779720181291,NJ
2010,1.0298312726279117,NJ
2014,0.9596279474759674,NJ
2018,0.6455470350098744,NJ
2002,0.6690629638533069,NM
2006,0.7914596134438753,NM
2010,0.9386514429794064,NM
2014,0.8868823325541438,NM
2018,0.6551583313945142,NM
2002,0.8582895311213217,NY
2006,0.45727404051891063,NY
2010,0.620063824060902,NY
2014,0.7032092634381091,NY
2018,0.43599633672165305,NY
2002,1.2455064097017048,NC
2006,0.8899402579570851,NC
2010,1.1961407397261412,NC
2014,1.2603970577629178,NC
2018,1.042336204117193,NC
2002,0.9081876223435448,ND
2006,0.5225278800005597,ND
2010,1.2183176587636801,ND
2014,1.4433830138589854,ND
2018,1.6923682208835693,ND
2002,1.3333856507967023,OH
2006,0.8984756479805086,OH
2010,1.274321710719056,OH
2014,1.5013076610712055,OH
2018,1.1001827449579484,OH
2002,1.3952394195857902,OK
2006,1.389224110188582,OK
2010,2.340732364416172,OK
2014,2.629633034903633,OK
2018,1.7050474732292065,OK
2002,0.781476393074514,OR
2006,0.7279347342113957,OR
2010,0.8958750642582384,OR
2014,0.7491065220995221,OR
2018,0.6618834156764762,OR
2002,1.3786003195752836,PA
2006,0.7770714609677218,PA
2010,1.0807261919815194,PA
2014,1.2491227137750631,PA
2018,0.8133182681975105,PA
2002,0.43234257330556003,RI
2006,0.15790208681670811,RI
2010,0.6835944020548056,RI
2014,0.6365989542266672,RI
2018,0.5352488920952283,RI
2002,1.6501832032744685,SC
2006,1.2684385438283632,SC
2010,1.403126238780026,SC
2014,1.948029971487302,SC
2018,1.2230582588284937,SC
2002,1.1723987469961121,SD
2006,0.4246316191401843,SD
2010,1.0485302444248887,SD
2014,1.9877169270692545,SD
2018,1.6756555423122765,SD
2002,1.0877148403035115,TN
2006,0.9287759580234207,TN
2010,1.7636756800676605,TN
2014,1.8929666541040673,TN
2018,1.5117904188079627,TN
2002,1.2151229220795066,TX
2006,1.1923665785414008,TX
2010,2.108887356480364,TX
2014,1.8212773809782254,TX
2018,1.0733519832057707,TX
2002,1.4543114078075527,UT
2006,1.1953182838888594,UT
2010,1.7914963617368354,UT
2014,1.9130856554272417,UT
2018,1.650513757690323,UT
2002,0.5025745444505798,VT
2006,0.8369845867753818,VT
2010,0.4961040478942379,VT
2014,0.4818198769345516,VT
2018,0.37499933703532806,VT
2002,2.1696270869373726,VA
2006,1.29108449661758,VA
2010,1.3018078927381365,VA
2014,1.352044296338152,VA
2018,0.754501861481762,VA
2002,0.8583730053777661,WA
2006,0.6414341348530458,WA
2010,0.8755605467635221,WA
2014,0.9371088631129462,WA
2018,0.5552874547348211,WA
2002,0.5130355439111932,WV
2006,0.7235674052959951,WV
2010,1.2423800892665136,WV
2014,1.330653646347077,WV
2018,1.4373060263974626,WV
2002,1.3135074048085091,WI
2006,1.0367988627890379,WI
2010,1.2419020123789537,WI
2014,1.118594461540694,WI
2018,0.857748345145712,WI
2002,1.6711238459089461,WY
2006,1.0109613968198952,WY
2010,2.876704247509177,WY
2014,2.9901859640769253,WY
2018,2.136170141729129,WY
