Year,RD_vote_r,State
2004,1.6952558820520136,AL
2008,1.5569498413603793,AL
2012,1.5783980314089803,AL
2016,1.806950066274003,AL
2004,1.7193334834496734,AK
2008,1.568369014677088,AK
2012,1.3427592954990215,AK
2016,1.4030175004722896,AK
2004,1.2358862212990362,AZ
2008,1.1888495970356825,AZ
2012,1.2032925230581957,AZ
2016,1.0785319438619576,AZ
2004,1.2190538202756447,AR
2008,1.5107788117733418,AR
2012,1.6423154644037028,AR
2016,1.799954795607815,AR
2004,0.8168168782526386,CA
2008,0.6056918670228303,CA
2012,0.6162187901253902,CA
2016,0.5122136839503082,CA
2004,1.099350924199287,CO
2008,0.8331592393463793,CO
2012,0.8958068960721819,CO
2016,0.8981335006385982,CO
2004,0.8091378538241935,CT
2008,0.6308334970313859,CT
2012,0.7014737874868935,CT
2016,0.7500401082030188,CT
2004,0.8576481873775931,DE
2008,0.5964714494302412,DE
2012,0.6821719486858161,DE
2016,0.7857582458627437,DE
2004,0.1047248361826871,DC
2008,0.07065500406834825,DC
2012,0.08005766278503763,DC
2016,0.04498461973623732,DC
2004,1.106313191633757,FL
2008,0.9447814306805534,FL
2012,0.9824650121432192,FL
2016,1.0250636241044624,FL
2004,1.4012044074255443,GA
2008,1.11096656784824,GA
2012,1.17186625302242,GA
2016,1.1124308625888795,GA
2004,0.8380850035389369,HI
2008,0.36998075925749757,HI
2012,0.39462528288842946,HI
2016,0.4827701196368555,HI
2004,2.2597433433831404,ID
2008,1.7045000845880562,ID
2012,1.9780860672879452,ID
2016,2.1555871736094643,ID
2004,0.8113108886237486,IL
2008,0.5940252352202817,IL
2012,0.707139431802225,IL
2016,0.6943394260706778,IL
2004,1.5267504703248982,IN
2008,0.9793375588320273,IN
2012,1.2321615214674118,IN
2016,1.5073534109101892,IN
2004,1.013558467606059,IA
2008,0.8231946823654306,IA
2012,0.8882406290727305,IA
2016,1.2253648253167888,IA
2004,1.6930295430041402,KS
2008,1.3591736034889708,KS
2012,1.571575082931345,KS
2016,1.5714523249142283,KS
2004,1.5004763354580186,KY
2008,1.3942591939998803,KY
2012,1.6002914464871867,KY
2016,1.9129575386337687,KY
2004,1.343618607361462,LA
2008,1.466527626824898,LA
2012,1.4240558814841913,LA
2016,1.5107760775436645,LA
2004,0.832071706119816,ME
2008,0.6998267456384222,ME
2012,0.7283120611204418,ME
2016,0.9381050218737333,ME
2004,0.7678553765455227,MD
2008,0.5890650132834847,MD
2012,0.5792368062823481,MD
2016,0.5622316010788996,MD
2004,0.5938069630779466,MA
2008,0.5823516343967771,MA
2012,0.618497988330757,MA
2016,0.5467598170806277,MA
2004,0.9332695488796108,MI
2008,0.7131706386491025,MI
2012,0.8247998006682604,MI
2016,1.004717831454766,MI
2004,0.9319598287629047,MN
2008,0.8106306654446488,MN
2012,0.8538696014078686,MN
2016,0.9672765691431997,MN
2004,1.4694407186204306,MS
2008,1.3063757747961822,MS
2012,1.2625406564360182,MS
2016,1.4443810022447545,MS
2004,1.1560884105494806,MO
2008,1.0027068244850064,MO
2012,1.2113456817966393,MO
2016,1.4887112676319338,MO
2004,1.5316504519025962,MT
2008,1.0478963339621095,MT
2012,1.3274342421434906,MT
2016,1.5713329094193316,MT
2004,2.0163489666886854,NE
2008,1.3589954368037827,NE
2012,1.5726378024437155,NE
2016,1.7433091734799329,NE
2004,1.0541302651124147,NV
2008,0.7734666576734566,NV
2012,0.8723947208458088,NV
2016,0.9495568000593406,NV
2004,0.9727644628220528,NH
2008,0.822537978203136,NH
2012,0.8927294817364386,NH
2016,0.9921497965718483,NH
2004,0.8736929942503779,NJ
