state,benghazi
West Virginia,100
New Hampshire,86
Kentucky,76
Nebraska,75
Ohio,70
Pennsylvania,70
Maine,68
Montana,67
Indiana,65
Tennessee,63
Delaware,62
Rhode Island,60
Idaho,60
Michigan,60
Alaska,58
Florida,57
New Jersey,57
Virginia,57
North Carolina,56
Minnesota,56
Arkansas,56
Missouri,56
Arizona,56
Connecticut,55
North Dakota,55
Massachusetts,55
New York,55
Iowa,54
Wisconsin,54
Alabama,54
District of Columbia,53
Maryland,53
Nevada,53
Colorado,53
Oklahoma,52
Washington,52
Mississippi,52
Louisiana,51
Kansas,50
South Carolina,50
Oregon,49
South Dakota,48
Texas,48
New Mexico,47
Illinois,46
Utah,45
Georgia,44
Hawaii,44
California,43
Wyoming,43
Vermont,38
