state,BillClinton
New Hampshire,100
District of Columbia,94
New Jersey,91
Delaware,91
Connecticut,88
Pennsylvania,88
Maine,88
Arkansas,86
Vermont,86
Ohio,85
Massachusetts,85
Maryland,85
West Virginia,84
New York,84
Rhode Island,83
Virginia,83
Florida,83
Missouri,82
Oklahoma,80
Kentucky,79
North Carolina,79
Washington,79
Michigan,79
Arizona,78
Alabama,78
Tennessee,77
Idaho,76
Minnesota,76
Colorado,76
Iowa,74
Indiana,73
Nevada,73
Illinois,72
Georgia,71
Wyoming,71
Louisiana,70
Wisconsin,70
South Carolina,69
California,69
Montana,68
Nebraska,68
Mississippi,68
Alaska,68
South Dakota,66
Texas,65
Kansas,65
North Dakota,64
New Mexico,62
Utah,61
Oregon,61
Hawaii,57
