state,CNN
District of Columbia,100
Vermont,91
Connecticut,86
Minnesota,85
Maryland,85
Virginia,83
New Jersey,80
New Hampshire,79
Massachusetts,78
Maine,78
Alaska,76
North Carolina,75
New York,75
Delaware,75
Rhode Island,74
Pennsylvania,73
Washington,73
Colorado,71
New Mexico,68
Arizona,67
Hawaii,66
Florida,64
Georgia,64
Montana,64
South Dakota,63
Wisconsin,62
Nebraska,62
South Carolina,62
Iowa,62
Illinois,62
Nevada,61
California,60
Missouri,60
Oregon,60
Ohio,59
Michigan,59
North Dakota,58
Texas,58
Idaho,57
Tennessee,57
West Virginia,56
Utah,55
Kansas,54
Kentucky,53
Indiana,53
Alabama,50
Oklahoma,48
Louisiana,47
Wyoming,47
Arkansas,47
Mississippi,39
