state,ClintonSearch
District of Columbia,100
New Hampshire,100
Connecticut,99
New Jersey,96
New York,95
Maine,94
Pennsylvania,93
Massachusetts,92
Ohio,91
Florida,90
Vermont,90
Virginia,88
Washington,87
Iowa,86
Arizona,86
Missouri,85
West Virginia,85
Maryland,85
Kentucky,85
Montana,85
North Carolina,84
Minnesota,84
Rhode Island,84
Alaska,84
Nevada,83
Michigan,83
Tennessee,83
Colorado,83
Arkansas,82
Oklahoma,81
Alabama,81
North Dakota,79
Delaware,79
Indiana,79
Illinois,78
California,78
Idaho,78
Wyoming,78
Nebraska,76
Wisconsin,76
Georgia,74
South Carolina,74
New Mexico,74
South Dakota,73
Louisiana,73
Texas,73
Oregon,72
Kansas,70
Utah,70
Mississippi,70
Hawaii,60
