state,facebook
Mississippi,100
West Virginia,99
New Mexico,99
Alabama,97
Arkansas,95
Kentucky,91
South Carolina,90
Tennessee,90
Montana,90
Oklahoma,84
Wyoming,84
Indiana,83
North Carolina,83
Maine,82
Ohio,81
Iowa,80
Georgia,79
Michigan,79
North Dakota,78
Louisiana,78
Vermont,76
Kansas,76
South Dakota,75
Missouri,75
Idaho,75
Texas,73
Pennsylvania,72
Delaware,72
Wisconsin,72
Arizona,72
Illinois,71
Nevada,70
Florida,70
Nebraska,69
Alaska,67
New Hampshire,67
Rhode Island,66
Minnesota,65
Washington,64
Virginia,64
Oregon,63
Colorado,63
Maryland,62
New York,61
Connecticut,59
California,58
Massachusetts,58
Utah,57
New Jersey,57
District of Columbia,53
Hawaii,46
