geoName,Trump,Clinton,CNN,WikiLeaks,Make America Great Again,Benghazi,Fox News,Facebook,Instagram,Twitter,fake news,black lives matter,antifa,healthcare,immigration,racism,Dow Jones,Russia,Venezuela,Crimea,China,North Korea,ebola,NASDAQ
Alabama,57,67,50,86,54,58,94,97,67,61,45,37,31,55,46,64,40,63,13,19,73,46,58,23
Alaska,64,68,68,84,31,74,78,64,57,45,71,27,0,35,62,43,56,90,13,0,62,77,59,25
Arizona,71,71,67,90,42,65,71,70,67,69,45,29,19,89,57,60,53,72,16,12,64,51,47,22
Arkansas,56,74,52,77,38,63,65,92,63,53,61,32,55,49,45,70,50,64,52,40,58,37,47,13
California,73,67,61,74,45,47,39,57,100,76,47,32,13,54,75,72,36,74,19,30,86,60,46,38
Colorado,75,71,73,78,47,65,64,62,54,58,59,26,20,60,56,63,40,81,17,49,64,64,55,31
Connecticut,83,96,85,81,60,59,55,57,77,82,55,34,0,82,69,85,60,80,23,45,80,62,67,40
Delaware,75,73,79,82,52,78,55,71,88,73,52,36,0,68,57,50,43,70,17,0,76,56,43,48
District of Columbia,100,98,100,97,52,64,60,54,79,100,36,48,32,63,100,82,39,100,32,60,100,72,69,34
Florida,73,74,67,94,52,69,58,71,76,66,66,28,6,75,71,53,48,66,100,29,79,47,39,26
Georgia,62,66,68,74,48,49,73,79,81,62,38,41,35,89,51,70,30,66,22,23,76,50,53,20
Hawaii,59,58,63,68,40,45,38,45,97,53,47,25,0,41,52,57,57,59,14,31,89,98,36,23
Idaho,60,61,62,75,41,66,80,74,48,48,64,30,0,60,49,50,59,80,15,32,61,68,42,53
Illinois,70,74,64,77,58,55,49,69,65,76,44,31,23,72,62,66,52,66,18,26,77,50,50,36
Indiana,62,73,58,78,51,71,64,81,61,70,27,32,21,62,48,77,53,70,15,26,74,58,56,21
Iowa,65,98,69,68,57,71,58,76,52,81,25,29,0,56,62,71,100,68,16,22,67,55,60,31
Kansas,52,59,59,74,51,58,60,67,52,63,53,26,0,63,57,56,57,76,19,15,77,65,58,23
Kentucky,66,72,56,90,48,71,71,90,59,71,38,30,0,95,38,59,48,77,13,30,63,59,30,12
Louisiana,55,63,47,85,47,53,65,76,82,62,24,36,0,67,40,50,35,56,15,16,65,45,50,22
Maine,87,85,83,81,41,85,70,82,56,60,36,32,0,72,66,58,75,95,16,95,89,62,53,31
Maryland,76,84,88,74,54,58,54,60,79,84,22,41,0,81,69,95,46,73,19,37,88,62,52,33
Massachusetts,82,86,79,78,57,66,48,55,71,86,41,35,13,78,73,76,57,70,25,50,80,54,61,45
Michigan,69,86,59,86,63,65,65,76,62,69,48,37,18,57,48,66,61,79,15,22,76,52,48,29
Minnesota,71,71,85,83,55,68,67,63,55,74,39,39,43,66,53,75,77,71,17,26,68,57,56,36
Mississippi,49,100,41,73,58,57,74,100,79,54,22,32,0,70,44,61,35,54,10,15,67,33,78,15
Missouri,65,77,61,87,58,57,80,74,54,63,46,34,21,77,47,66,62,69,12,26,85,70,46,30
Montana,71,73,68,77,36,64,100,88,50,44,84,37,0,83,39,44,70,81,9,74,56,53,92,13
Nebraska,59,70,65,79,35,64,66,69,50,75,76,28,0,62,52,68,75,65,13,36,71,53,76,21
Nevada,71,70,63,81,37,56,63,69,80,70,72,24,39,52,60,46,41,79,20,19,83,48,41,15
New Hampshire,86,86,82,100,78,100,57,66,61,72,67,34,0,77,46,68,83,78,14,34,64,63,50,39
New Jersey,88,90,81,96,61,70,48,57,88,83,45,32,37,68,75,72,58,64,30,35,76,53,41,44
New Mexico,67,64,68,72,37,55,59,99,62,54,29,20,0,76,55,66,58,72,19,29,53,65,48,36
New York,85,87,73,88,45,59,41,57,97,87,41,33,9,73,84,69,53,80,45,37,90,51,49,57
North Carolina,66,80,79,77,44,66,75,80,69,67,36,50,11,90,48,67,42,63,18,20,90,50,53,23
North Dakota,59,63,64,83,44,70,71,81,48,61,0,26,0,61,55,62,41,79,17,0,69,59,67,27
Ohio,71,87,62,87,57,71,72,79,63,79,55,31,11,66,44,74,57,70,12,25,64,48,49,25
Oklahoma,58,78,49,85,46,80,72,86,57,60,83,40,0,54,58,69,41,77,16,20,64,52,55,27
Oregon,67,60,60,67,37,43,46,60,58,55,75,35,34,55,60,57,50,69,30,44,87,54,33,100
Pennsylvania,82,82,73,100,65,81,60,71,74,81,59,33,10,68,51,69,61,75,15,30,78,57,44,33
Rhode Island,76,80,80,91,100,72,50,66,79,82,38,37,0,61,62,77,62,77,18,26,78,52,64,36
South Carolina,52,68,65,69,33,58,78,87,67,59,36,41,0,59,43,64,40,55,18,24,76,48,65,22
South Dakota,54,58,68,64,57,59,85,74,37,64,0,38,0,70,46,52,81,75,7,44,50,67,33,38
Tennessee,62,80,56,88,49,63,78,89,67,67,38,30,19,94,32,50,38,63,11,18,68,47,42,20
