geoName,Trump,CNN,Fox News,Facebook,Instagram,Twitter,fake news,black lives matter,healthcare,immigration,racism,Dow Jones,Russia,China,NASDAQ,Biden,Sleepy Joe,Breonna Taylor,George Floyd,wildfires,COVID-19,coronavirus,social distancing,face masks,white supremacy,Trump covid,Apple,presidential debate,stimulus package,Mike Pence,Alexandra Ocasio-Cortez,Kamala Harris,Amy Coney Barrett
Alabama,54,36,79,85,62,40,57,44,51,29,32,39,50,68,40,48,20,30,31,5,58,44,38,40,37,29,59,61,62,45,0,57,47
Alaska,71,57,79,79,51,35,47,46,40,22,47,44,88,61,62,52,0,24,27,17,82,55,65,49,43,68,67,83,41,50,0,51,43
Arizona,80,58,67,65,73,49,69,46,71,40,37,56,55,56,60,66,32,27,32,16,71,70,51,46,53,54,63,68,51,61,37,61,47
Arkansas,58,37,61,78,56,37,53,48,50,30,33,42,45,55,37,53,27,24,30,8,72,50,48,50,40,37,54,66,74,44,0,55,39
California,75,47,35,49,93,56,72,46,51,52,53,39,57,70,81,57,39,27,32,24,71,58,54,38,55,58,83,65,38,54,6,61,44
Colorado,80,64,63,65,63,47,50,56,48,36,49,48,56,52,66,61,24,29,33,76,68,62,58,51,49,66,63,83,36,55,0,57,56
Connecticut,83,68,51,62,74,55,64,51,100,42,54,60,55,69,83,68,59,28,35,10,65,68,70,71,60,58,87,72,58,68,0,67,63
Delaware,76,72,57,72,73,50,88,53,69,32,50,60,50,76,53,91,0,30,33,6,60,64,79,56,52,45,72,74,46,59,0,79,57
District of Columbia,100,77,34,41,91,100,50,100,90,100,100,28,100,100,71,100,35,39,43,11,84,65,90,52,100,69,81,100,39,100,0,100,100
Florida,76,51,57,62,76,46,66,40,65,48,35,52,52,71,62,67,36,26,31,5,70,64,52,44,47,44,68,63,46,52,0,61,47
Georgia,60,45,57,65,74,44,50,50,74,36,40,34,55,70,50,53,36,33,31,5,66,47,46,39,44,34,68,56,50,48,0,60,44
Hawaii,68,60,38,50,100,40,100,42,41,42,44,40,59,71,60,50,0,24,28,11,100,100,100,48,59,64,72,64,40,49,0,46,41
Idaho,70,49,90,86,61,37,61,52,53,27,35,71,55,49,57,59,22,23,37,33,76,90,54,58,33,52,60,79,65,54,0,51,50
Illinois,76,51,49,67,66,53,67,52,64,38,47,56,51,66,69,60,40,42,38,9,75,68,60,54,52,51,78,67,55,59,18,62,54
Indiana,65,46,67,78,56,45,65,58,59,30,43,62,50,63,54,57,38,42,37,8,65,57,51,51,58,42,64,69,64,71,0,57,58
Iowa,72,63,71,94,48,49,70,44,50,31,40,100,41,60,60,59,56,27,39,12,73,69,66,66,54,50,65,71,63,50,0,49,51
Kansas,66,53,69,79,50,47,59,49,55,31,36,67,48,62,55,57,41,27,35,14,67,54,67,62,50,41,66,66,56,52,0,55,51
Kentucky,59,41,62,83,59,45,75,57,80,28,45,48,46,58,44,51,37,100,38,7,74,50,43,43,46,35,58,54,73,41,0,52,45
Louisiana,51,36,57,71,74,42,52,44,63,29,37,33,45,63,37,48,37,30,32,6,55,34,46,35,42,27,54,54,64,36,0,56,59
Maine,100,83,74,100,60,46,58,64,74,30,53,74,49,85,80,73,42,25,34,10,73,81,74,99,76,70,86,86,85,64,0,66,61
Maryland,74,68,50,61,81,60,58,64,67,50,61,43,56,70,62,62,49,34,38,8,71,65,52,49,70,49,75,68,39,56,0,71,56
Massachusetts,88,69,47,62,73,61,59,57,77,47,63,57,58,66,100,72,43,29,35,9,71,79,64,69,75,64,90,76,58,68,100,70,70
Michigan,83,56,67,82,61,46,52,51,53,28,45,70,47,70,77,71,44,30,34,8,74,81,52,56,58,55,76,72,69,55,0,65,52
Minnesota,91,73,73,75,58,54,57,56,70,34,55,84,50,59,74,73,52,33,100,11,76,67,59,70,74,64,100,86,58,67,47,61,55
