,county,state,X.1,FIPS,X,Area.name,undereducated,prcntDeaths,prcntBirths,INTERNATIONAL_MIG_2016,rShift,flipped,prcntPopChg,alcohol1980,alcohol2014,alcoholChg1980to2014,drug1980,drug2014,drugChg1980to2014,self1980,self2014,selfChg1980to2014,violence1980,violence2014,violenceChg1980to2014,totalMortality2014,totalSelfMortality2014,prcntGOP12,prcntGOP16,prcntDem12,prcntDem16,popChg15,popEstimate16,whiteNotLatino,black,unemployment,poverty,deaths16,births16,domesticMig16,medianIncome16,stateAbbrv,totalVote,warrenFrac2020,bidenFrac2020,sandersFrac2020,buttigiegFrac2020,klobucharFrac2020,otherFrac2020,yangFrac2020,steyerFrac2020,cd,geoType,clintonFrac2016,sandersFrac2016,trumpFrac2016,bushFrac2016,voteTotal
111,Autauga,Alabama,1,1001,6,Autauga County,46.7,0.913564167,1.204819277,15,0.8020531,0,79.59766996,2.93,1.45,-50.52,0.67,7.32,998.81,15.53,18.19,17.15,10.14,6.31,-37.77,33.27,26.96,72.6337362,73.4357893,26.5757664,23.956855,440,55278,77.2,17.6,5.1,NA,505,666,266,54487,AL,3552,0.0543,0.6303,0.17,0.0028,0.0014,0.0208,0.0025,0.002,2,County,0.160018771,0.036468459,0.361131595,0.003821144,14917
120,Baldwin,Alabama,2,1003,7,Baldwin County,38.7,0.985499424,1.114168542,169,-0.0382771,0,223.8939034,2.65,2.53,-4.62,0.7,13.3,1795.87,14.29,18.51,29.52,10.79,5.27,-51.2,39.61,34.34,77.3897491,77.351472,21.5665741,19.5653098,4646,207509,83.5,9.3,5.4,NA,2045,2312,4205,56460,AL,12570,0.071,0.5824,0.1969,0.0061,0.0021,0.0209,0.0023,0.0033,1,County,0.091432214,0.046672295,0.409282773,0.003962579,58043
132,Barbour,Alabama,3,1005,8,Barbour County,61.1,1.043687437,1.055327074,-5,3.9338635,1,-190.1140684,3.91,2.72,-30.39,0.66,5.4,722.06,16.08,16.2,0.73,17.38,10.6,-39.04,34.92,24.32,48.3375513,52.2714148,51.2522908,46.6602502,-490,25774,46.8,46.7,8.4,NA,269,272,-488,32884,AL,2533,0.0225,0.7497,0.0797,0.0028,0.002,0.03,8.00E-04,0.002,2,County,0.414701131,0.035864297,0.276252019,0.001615509,6190
202,Bibb,Alabama,4,1007,9,Bibb County,61.1,0.914593735,1.281314894,20,3.8997831,0,31.81195599,2.21,1.22,-44.8,0.53,13.03,2344.39,13.98,19.95,42.74,12.58,9.11,-27.59,43.31,34.2,73.0663806,76.9661637,26.2185675,21.4220393,72,22633,75,21.9,6.5,NA,207,290,-32,43079,AL,995,0.0342,0.5618,0.1387,0.005,0,0.0161,0.002,0.001,6,County,0.183304145,0.047869235,0.381202569,0.003308037,5139
222,Blount,Alabama,5,1009,10,Blount County,52.9,1.150064279,1.172648622,62,3.3589644,0,-4.864320211,1.43,1.31,-8.31,0.46,14.38,3014.08,14.37,19.09,32.91,9.03,6.9,-23.53,41.68,34.78,86.4929108,89.8518752,12.3477898,8.4699023,-28,57562,88.9,1.3,5.4,NA,662,675,-100,47213,AL,1286,0.0708,0.5086,0.2613,0.007,0,0.0381,0.0062,0.0031,NA,County,0.035347205,0.024755578,0.463148659,0.003509652,15956
311,Bullock,Alabama,6,1011,11,Bullock County,67.5,1.12058232,1.398333493,18,0.7238104,0,21.07077866,5.06,3.05,-39.74,0.64,5.63,781.57,11.31,12.01,6.23,18.21,12,-34.08,32.69,20.69,23.5050771,24.2288875,76.3068823,75.0904063,22,10441,21.9,70,6.9,NA,117,146,-26,34278,AL,2235,0.0197,0.702,0.0667,0.0022,0.0027,0.0474,0.0031,0.0013,2,County,0.767623206,0.055520898,0.097629445,0.002183406,3206
323,Butler,Alabama,7,1013,12,Butler County,58.8,1.33233158,1.18206862,7,2.7353958,0,-88.15426997,2.59,1.61,-37.98,0.61,6.45,957.13,14.34,17.81,24.17,20.33,16.85,-17.1,42.72,25.87,53.5800907,56.3154865,46.0508278,42.7864134,-176,19965,54.1,43.2,6.9,NA,266,236,-153,35409,AL,2201,0.0127,0.6592,0.0777,0.0018,5.00E-04,0.0177,9.00E-04,0.0018,2,County,0.396246842,0.028148683,0.310357272,0.003789246,5542
348,Calhoun,Alabama,8,1015,13,Calhoun County,49.8,1.261088885,1.168029222,82,3.7725714,0,-45.6601148,3.26,1.5,-54.04,0.83,11.51,1293.8,14.92,20.16,35.16,13.31,11.61,-12.8,44.78,33.17,65.467128,69.2396994,33.5207612,27.8558764,-525,114980,73.6,20.4,6.6,NA,1450,1343,-498,41778,AL,7905,0.0578,0.6142,0.1905,0.0032,0.0028,0.0201,0.0024,0.0015,3,County,0.189212202,0.054716422,0.343773138,0.004923738,27012
444,Chambers,Alabama,9,1017,14,Chambers County,59.1,1.322774861,1.150754812,17,4.4705996,0,-74.44315924,3.67,2.35,-36.02,0.67,8.65,1200.14,16.77,16.69,-0.52,18.71,11.04,-40.99,38.73,27.69,52.1631644,56.633764,47.0608433,41.8275512,-251,33717,58.1,38.6,5.5,NA,446,388,-208,39530,AL,2815,0.0217,0.6519,0.1012,0.0014,4.00E-04,0.0213,0.0032,0.0021,3,County,0.374402686,0.04029446,0.280123983,0.004649361,7743
472,Cherokee,Alabama,10,1019,15,Cherokee County,54.7,1.381665761,0.908173562,7,7.0963543,0,9.702708996,2.36,1.33,-43.47,0.63,11.15,1678.21,19.02,25.9,36.22,11.73,5.75,-50.98,44.13,38.38,76.7749206,83.8712749,21.7805553,14.51014,25,25766,92.1,4.6,5.1,NA,356,234,141,41456,AL,845,0.0497,0.5385,0.1929,0.0047,0.0059,0.0343,0.0012,0.0024,NA,County,0.113701693,0.042797828,0.44346854,0.003193868,6262
